,Reviewer,Review,Ratings,Date
2823,Rakesh,"Convenient location, nice view, very warm and friendly front office. Overall a very good stay but slightly expensive as compared to other hotels in same category. Breakfast spread was good and so was the quality of food served. Airconditioning was a bit of the problem as it was slightly warm during the night.",5,w Sep 2015
2824,kunteanju,"From the moment of check - in to the surprise in our room to our extended lunch, gym..everything had a personal touch! Our day and stay was very memorable. Highly recommend the restaurants, bakery and goes without saying the hotel. Thank you Taj team :) ",5,Sep 2015
2825,Michelle,"The Taj doesn't really require a review. The name says it all. The service was perfect, form arrival to departure. They take security seriously and accommodate any needs you may have happily. I'm glad i was able to experience their hospitality.",5,w Sep 2015
2826,Barry,"Stepping into the Taj is quite surreal given the hassle and bustle that is the manic city of Mumbai. Really secure environment although the level of security can be a little disconcerting or comforting depending on how perceive the vibrant life of the city.  Located by the sea in what feels like a bit more upmarket part of town, it is certainly not down town. If you want to go downtown it is no more than a quick taxi ride away. Found it to be a good base location for my trip.  The interior of the hotel is finished and maintained to very high standards and there is nice outdoor pool and bar area.   Staff were very attentive, courteous and efficient, couldn't have asked for more",5,w Sep 2015
2827,Sanaya,This was one of my best stays there than my previous ones. I see a lot of friendly and smiling staff every time ready to help you out and serve you. Me and my parents often visit this property for its excellent view of the sea-link from the room and my favorite Chinese restaurant Ming Yang.. Many times I have visited this hotel alone also and I mark it as a safe hotel for lady travelers too.,5,rote a review Sep 2015
2828,michelle,"One thing about Mumbai - it is noisy!  This hotel, though, is in a quiet section of town.  A bit out of the way - an hour drive to Colaba Market, 10 minutes drive to the closest shopping - but I was able to hear crashing waves at night and woke up to dogs barking at sunrise.  The grounds are well manicured, and the gym is very nice and well-equipped.  I'd stay there again.",4,ew Sep 2015
2829,ilapirata,"This was more like a stay cation for me and my friend. My brother lives in Bombay and we have many friends there too but this was a birthday celebration and we decided to posh it up a bit. At the outset, let me just say that the staff was excellent, very courteous and helpful. Once they knew this was a birthday, they upgraded us to a higher room class. Our room too was perfect, with a panoramic view of the Arabian sea. The room was luxurious too. However, I could not but help notice how a lot of the fittings, electronics (like the phone) and furniture was very clearly old and worn out. They really need to renovate and update to make the finishing touches a lot more appealing. Room service and the restaurants were pretty spectacular. Always aim for the breakfast buffet and if you…",4,Sep 2015
2830,Annette,"I had the good fortune of staying at the Taj in Dec-Jan (2015) and again in August 2015.  I love the ambiance, the helpful and very pleasant staff, the little surprises (my hand towel was folded like a duck, with an orchid in its mouth), the attention to detail, and the friendliness of the staff at Vista - I felt I was saying goodbye to friends.  My thanks to the Management for the chocolates and bouquet of flowers.  You all made my stay extra special.  Congratulations and thank you.  Annette",5,w Sep 2015
2831,Rohit,"Superb location, nicely maintained and the hospitality was out of the box. They have very nice Gym and pool. A perfect destination for a weekend stay with family and friends. Also try the Masala Bay restaurant, food is awesome.",5,w Sep 2015
2832,Yugal,"I  got chance to have company of my better half after almost 25 years of marriage as kids engagement in education/activities of all round development were so pressing that she could not spare herself before they could choose their respective career and start staying in Hostels. But never the less, she came to Bombay, Taj Lands End, Bandstand, Bandara ( W ), Bombay during one of my official engagement with ONGC, Priyadarshini building, RCF, Chembur. We enjoyed by travelling to Gate Way of India by road on a heavily raining afternoon of 19th July and saw many people there enjoying the rainy season  evening. on return, we did see Church Gate, Mantralaya, Marine drive, Malawar hills, Jaslok Hospital & Worli sea link etc. It was maiden visit still we enjoyed thoughroughly the food of…",5,ew Sep 2015
2833,Vishal,when i was reached in your hotel i see there is girl with traditional pooja plate and flower and she welcomed me i was glad then i reached hotel room there is no bad smell i appreciate this also you have best service  good keep it up,4,w Sep 2015
2834,Shoury,"I stayed here for a night facing the sea on 11th floor. Great food to make things even better. Thanks to Divyveer Singh for his hospitality and calmness, I had a great experience at Lands End. A must stay place...",5,w Sep 2015
2835,Vihang,"This hotel is getting better with age.  Variety, choice and quality of food are excellent. Their staff makes every guest a VIP. Even a brief stay gives an experience of the life style of celebrities. The hotel staff makes it appear as though they are grateful to have been asked for whatever the favors. It is children friendly. Hospitality at its very best. A MUST destination, even if brief, for all visitors, National or International including the NRIs visiting Mumbai. The hotel is centrally located with sea view from every room. Travel to the city center, shopping and entertainment areas is easy. Despite being surrounded by people from all walks of life, it remarkably peaceful inside. Visitors flocking the residences of some film stars may cause some inconvenience while getting…",5,w Sep 2015
2836,Kirsty,"The Taj Lands End is a typical Taj hotel. The rooms, furnishings and prices don't distinguish it from any others, and the lack of an iron and ironing board in the rooms is always a frustration since I'm usually travelling on business. They did bring one very quickly on request 'though. The views are good, breakfast is excellent, the staff friendly. Can't fault it really!",4,eview Sep 2015
2837,52nitinr,"Spent the weekend at the Taj Landsend, got pampered by the staff right from the time of arrival, clearly shows why the Taj Hospitality is superior to others, allocated a great room overlooking the sea link & Mumbai skyline, pool was excellent, they gave us a late check out and allowed use of the pool even after surrendering the room, felt completely rejuvenated at the end of stay",4,Sep 2015
2838,baladeep,"If you are ever in Bombay, you must stay at taj lands end. The hospitality, rooms and food are par excellence. The staff is always willing to help and if you staying there do not miss the breakfast and also do try the tiffin service meal while u order for room service and do order the murg khatta pyaaz. This is bbays best hotel undoubtedly. ",5,Sep 2015
2839,Dharamvir,Excellent Hospitality.  The sea view from Hotel is really cool which make it even better place place to stay over hear.  The location of the hotel is excellent.  I stayed here during my visit to Mumbai and liked it very much.  would be staying here time and again.  Thanks.,5, review Sep 2015
2840,Deepak,"Taj Lands End provided my wife and I a distinct experience on a Sunday.  Masala Bay food, a mid-night wals on terrace lawns, well kept rooms, spic-n-span and decorates and fresh lobby, and the celebrity visitors, all make a perfect set up to get destressed!",5,w Sep 2015
2841,David,"As nice, if not nicer than any 4-star hotel in the United States. Services are great, food is outstanding. Anything I asked for was immediately taken care of with pleasure. Even provided me with a hotel car and driver for the day.",5,a review Sep 2015
2842,Vishal,"Had an amazing stay at Taj Lands End. Everything about the stay was perfect, right from the beautiful and immaculate room which had an amazing view of the Arabian Sea to the courteous and always ready to help staff. Couldn't have been a more memorable stay! look forward to coming back to Taj again soon.",5,iew Sep 2015
2843,Iiljaz,"THIS HOTEL has everything we Need to make a Business trip most confortable. i am happy i have Chosen this Hotel and i will for sure be back when a Meeting is scheduled in Mumbai. Not even that i received an upgrade and had the honor to reside in the 25th luxury floor, they even have a LOUIS VUITTION shop inside. This makes it even harder to leave the Hotel as a Young woman :-)",5,w Sep 2015
2844,Rajiv,The Hotel has an exclusive and excellent location. The Sea Views and The View of the Mumbai Sea Link are very beautiful. The Pool Side ambience is very nice. The hotel staff was very professional and courteous always.,5,w Sep 2015
2845,Rolanf,"The Taj Lands End has been my home away from home for the past few years whenever my travels get me to Mumbai. Comfortable amenities and an outstanding friendly service. A great place to stay! The layout of the rooms is efficient. I particularly recommend the higher floor club rooms. The hotel has a number of restaurants from a buffet restaurant to an excellent Indian restaurant Masala Bay, an authentic Italian restaurant and an authentic Chinese with a great chef from Hong Kong.  The Taj Lands End has a nice spa though a bit pricey compared to other places in Asia though maybe competitive with other spas in Mumbai. Numerous treatments are available. And of course as would expected, fitness room, swimming pools, etc.. The location is convenient as it is not too far from the…",5,w Sep 2015
2846,NikhilDaxini,I visited Taj lands end last weekend...settled in the lounge on the ground floor - good ambience - being a 5 star - not very crowded - there are not many jain options in food but they managed to get is cheese chili toast - and a cold coffee. Approach of the staff is friendly - would love to go often.,5,Sep 2015
2847,Yashovardhan,"The Taj Lands End is a fantastic hotel with amazing service standards. Everyone is looking out to make your stay as comfortable as possible, and it's the little things like rose petals on your bath towels that make it special.",5,w Sep 2015
2848,Vijay,"A very welcoming and efficient hotel with a lovely view of the sea. Very good food, attentive staff with all systems firing all the 6 cylinders!!   The atmosphere was vibrant with activity all over. I enjoyed having a tub bath every day though feeling guilty of consuming so much water. I am sure they recycle it!   We had a conference to attend. The banquet hall was well laid out. The food and service really good.   There is a nice park next door that one could go for walks   They should collaborate with authorities and try beautify the area between the boundary and sea",5,w Sep 2015
2849,ravs166,"Good staff, Got a bit delay in getting my room but the room was very clean, service was very good. The Hotel is right next to Bandra Beach which is a good place for a walk.  I would stay there again during my next trip to Mumbai. Very good view of the sea link.",4,Sep 2015
2850,Rohit,"Excellent hotel with great service, very good location. Overall two thumbs up. I stay at this hotel whenever am in Mumbai. Have stayed here while on business and stay on vacation with family which includes young kids. Hotel is also child friendly",5,review Sep 2015
2851,Sundaram,"WHile, it is a business hotel, but the views from the rooms are un parallel. The new rooms are great. Taj staff rocks. The swimming pool area is quite good, one can walk around after dinner. Its also quite breezy in the evenings. The gym facility was great, i enjoyed working out The food was good, nothing exceptional but definitely home-y",5,review Sep 2015
2852,Dev,If you are in Mumbai no match for Taj Land Ends .Best Location and Excellent Place to be in . I have been there frequently had have not been not disapoitned on any single day .  Keep it Up. Greate sea view from room love it.,5, review Sep 2015
2853,msh21,"Stayed here for 2 weeks in August  2015 and was generally impressed, especially at the service which was good, if not too good at times. I appreciated the personal touches in the room and general etiquette of the staff but thought maybe it was a little much to complete your check in in your room with you.  Hotel was of an excellent standard generally, rooms we'll equipped and decent in size. Food was good and there was generally a diverse selection. Some of the facilities seemed a little dated and will need improvement in the future but I guess we're in keeping with the traditional style of the hotel.  Bar service was incredibly slow which was a shame.  I'd definitely stay here again if I found myself in Mumbai again. ",4,Sep 2015
2854,Rahulh,"The hotel, amenities and ambience is at the upper end of a ratings scale. It is very pleasant experience to stay at the hotel and a welcome respite from the travails of commuting in Bombay.  The club rooms in the hotel have been upgraded well, Rauth Greta amenities and a well designed bathrooms. The Toto value addition to the toilets is a great icing on the cake and well worth staying in these rooms just for that privilege.  The overall experience is great, staff throughout the hotel excellent and personable. All I can suggest is that it improves the check-in check out procedure which is slow and cumbersome.",5,Sep 2015
2855,Terrence,excellent overall experience -- very accommodating  --  secure environment  --  pleasant staff & excellent service -- rooms spacious  --  large bathrooms -- if eat & drink at hotel often plan for this to be rather pricey but good selection of Indian & American cuisine --  Italian restaurant good --  drinks about 12-15 USD each with taxes & tips -- good massage at reasonable cost --  would definitely go there again -- Uber service around town was convenient,5,w Aug 2015
2856,Mohit,"Lands End Bandra is so very well located and has an amazing touch of happiness in their services, the staff is very courteous and they do their best to keep up the brand in top. Always eager to go an extra mile to the guest comfort and all amenities are functional all the time. If you are in the city, whether for work or pleasure, this is the best place to stay and relax.",5,eview Aug 2015
2857,Shailesh,"I was here for a conference and found that the location of the hotel was absolutely super. It was bang opposite the sea away from the Mumbai hustle and bustle. Very calm, windy. Staff was extremely courteous. Food was excellent. Complete value for money.",4,eview Aug 2015
2858,Kaustav,"Relatively calm place in Mumbai, away from noisy streets, located in the corner of Bandstand. Almost all the rooms have good views of different parts of sea. Pool is small though good. Food is ok. Best part is the traditional Indian welcome and hospitality of Taj.",5,w Aug 2015
2859,yesuthasen,"I was here along with my colleagues for, for three days, for a Board meeting.and I was quite happy with my stay. But then, it is no surprise, this is a Taj  hotel ! The experience from check in to check out was excellent. The room was spacious and very comfortable. Good furniture and fittings, i.e everything you would expect in a top of the line hotel. The bathroom was spacious and well appointed and if, by chance, you needed something that was not already there, housekeeping got it for you in a jiffy. The best thing, for me, was the lovely view of the Arabian sea - on one evening I manged to see a spectacular sunset.  Unfortunately all our meals were at Vista, with a result that, over three days, it became a bit boring. The buffets were not excellent but were rather good.It was…",4,Aug 2015
2860,Murali,This was my shortest stay.. Checked in on 31st July and checked out on 1st Aug. The check in was superb smooth with a very traditional Indian welcome (tikaa and garland).. Was given a room on the 17th floor and my room over looked the Bandra worli sea link.. the view was really breathtaking as well I could see the pool too. The food was nice and specially the Thai green curry.. Loved the spread at the mini bar but I wish they had put more chocolates as I'm a big big chocolate lover.. The laundry service was good... I loved the bathroom though it was almost reminding me of a palace... Thanks for helping me in for a late check out around 4pm... In short u guys are really the best in hospitality... Wah Taj.. The wi fi was smooth n fast and the drop to the airport was smooth n fast.…,5,w Aug 2015
2861,Prabodh,good experience staying at the hotel with ocean view.courtious staff at front off and other amenities are very good.food is adequate.need to put more varieties in the buffet.overall it was a pleasant experience.,4,w Aug 2015
2862,Spugz,"A great hotel which is made even greater by the friendly and efficient staff! Rooms are kept immaculate and nothing is too much to ask for. Reception through to the pool area is faultless in its cleanliness and service.  The Vista restaurant staff, especially Deepesh, Ganesh and Vaibhau(?) took excellent care of us for the whole 2 weeks.  The restaurant manager and the beautiful young lady who escort you to your table (sorry I don't have her name) were so welcoming you couldn't fail to start the day in a happy mood. I was overwhelmed that they presented us with flowers and chocolates on our last morning - the flowers did make it home to the UK and I'm sitting near to them now, thank you so much! I must also rave about the Sunday Champagne Brunch - we made the most of the huge…",5,Aug 2015
2863,anonymous_traveler25,"This was my 3rd stay at the Taj and i absolutely loved it. The rooms are spacious,bathrooms are extremely clean. the breakfast is very very good. The only two things i didn't enjoy were the masala tea, which tasted like sweet water, and the parathas, it had more of the flour then the stuffings. I would definitely go back :)",5,Aug 2015
2864,Craig,"The Taj Club rooms remain the best option at the hotel. They are excellent. Some details eg. bath facing the wrong way in the bathroom to watch the TV is more funny than anything. Not that I would want to watch TV in the bath, but having it, and seeing it installed the wrong way around says something. The service wasn't as good as previous visits (I have stayed here a lot). The Taj Club rooms not coming with a one way airport transfer is disappointing. This is fairly recent (ie. in the past 12 months this has changed). It is becoming more expensive to stay when you consider all things.",4,w Aug 2015
2865,Hanifa,"I stayed at this hotel in April. The hotel is beautiful, the rooms are big and spacious and the breakfast is excellent. The staff were extremely friendly and accommodated all our needs. Will definitely stay at this hotel again.",5,w Aug 2015
2866,Habs383,"We were in the lap of luxury!!  It was most luxurious - couldn't find a single fault!  From check-in to check-out, everything was flawless.  Personalised service at all times.  The staff were absolutely amazing.  They went out of their way to ensure that our stay was comfortable and took great care of my dad who was in a wheelchair, after having surgery in hospital.  I have no words to express my gratitude to them.  Two people in particular, Pranali Ghai, the Asst Manager for Guest Relations and Rohan Srivastave, the Asst Manager for Housekeeping deserve special mention for their care, concern and going out of their way to ensure that all our needs were taken care of.  They did so much for us, with such a smile on their faces, that they made me feel guilty because they were so…",5,Aug 2015
2867,sachi_1989,The service as expected was impeccable. The rooms are luxurious. The view of the Arabian Sea is divine. The breakfast buffet is amazing too. Special thanks to the staff who always went the extra mile.,5,Aug 2015
2868,Nihan,"We were super impressed by the hotel and the services offered by the staff. It is an amazing hotel with a wonderful view. Right from check-in we felt very welcome by the staff there - Pranali and Terrence made our check in very easy and smooth. Thought out our stay we were impressed by the efficiency and alertness of the staff. The restaurants are very good, amenities, salon are all excellent. The salon manager Poonam, ensured that all my requests for services were well met.  Would love to stay here again",5,w Aug 2015
2869,Veteran,"Excellent service all the way through, from check-in to check-out.  Very comfortable room, with amazing attention to detail by the staff who make up and clean. Two great restaurants - Indian and Italian (the Chinese was closed throughout my stay) - with food and service of the highest quality.  Bar / lounger service was also very efficient and friendly.  The evening buffet was rather disappointing, and so we tried it only once. Very good spa as well.  The pool is rather small, but facilities otherwise are very good. Definitely one to consider when coming to this part of Mumbai.",5, a review Aug 2015
2870,Keki,It was a home away from home. relax and leave your worries at home if you are staying at Taj. I feel the Brand says it all. I suggest that you should give something as reward for long term loyalty.I have always found this hotel family friendly.. Longer stay would be more rewarding. I have been at many hotels round the world and the only hotel that people recognize is THE TAJ.,4,w Aug 2015
2871,akmjpr18,"Let me thank first of all Mr Nimish Mathur who organised this trip for us.(Working in Taj Rambagh Palace Jaipur). Now about the hotel its huge green and lovely staying in the property had great fun.Rooms are ultra luxury what a comfort. The whole stay was full of surprises like gifts for kids,also decorated bath tub and much more.Highly recommended,people are courteous,i do not remember names but there is a huge list.list. Wah Taj Wah. Thanks a lot for a wonderful time we spent there",5,Aug 2015
2872,Mistymauve1,"It definitely is not one of the most modern Taj hotels, but retains its hospitality and charm through its rustic old world feel. We did face a bit of a problem with the electricals in our room, but the service staff promptly attended to it and resolved it for us. The food doesn't disappoint and the courtesy of the staff keeps upto its reputation.",4,Aug 2015
2873,bloggerandhogger,"(this review is for Vista restaurant  inTaj Lands End)   Keeping in mind the brand name, my expectations from Vista were really high but unfortunately Vista was way below my expectations.   Service: Good but again I expected the best because it was taj.   Rest rooms (lobby) : very good  Time to service was good  Ambience : it was good but was smelling of non veg food (even though I am a non vegetarian)   Taste of food : it was no where close to 5 star standards. I had a soup, Biryani, Chicken tikka and I only liked chicken tikka.. ",3,Aug 2015
2874,Aashish,Excellent property to stay and food quality is very good and tasty.... we really enjoyed a lot and would prefer to stay again. Location is awesome and just 15 minutes drive from airport staff is so cooperative. Great view of SEA from the room.,5,w Aug 2015
2875,KrishnakumarAnanda,"Excellent service, In fact the best hotel one can Get in Mumbai if you can afford it. Rooms are neat and maintained well. Exactly as it says Taj always maintain its services to customers to a remarkable level. We feel like land ends here !",5,Aug 2015
2876,LVS_E,"Being a Taj property - warm hospitality,  excellent service, great food are a given. and taj landsend is all of this and more. A stay at this hotel is one of the reasons i look forward to visiting mumbai. the view from the room is breathtaking specially in the early mornings and evenings. you can enjoy your cup of tea/ coffee while gazing at the waves lashing out in the sea Masala Bay their indian restaurant serves some of the best indian dishes (with a twist). a must dine option.",5,Aug 2015
2877,Bruce,"Very much enjoyed my brief stay.  The little extra's such as folding clothes left over the chair, a bookmark for an opened book, squaring up my shoes,  all very much appreciated.  It definitely has the feeling of old world charm.  Will come back for sure.",5,w Aug 2015
2878,Gaurang,"Recently stayed for a family break and the property is typical TAJ property.  Over the decades, TAJ has perfected the art of making their guests comfortable and valued. This property and stay was no difference.  No demand was impossible for the staff, especially the ever ready and courteous members of the VISTA breakfast restaurant.  keep it up!",4,w Aug 2015
2879,SujathaMurthy2015,"A very good hotel with smiling and caring staff. Land's End receptionists make it a point to put you on a Woman's Only floor or Non smoking Floor if you so prefer. And sea facing rooms are awesome. I was offered a free upgrade and had a room that faced the swimming pool and beyond that the sea. The food is good, in room service is prompt. It is frequented more by business travellers like me but I have seen several families both Indian and otherwise, enjoying a good time here.",5,Aug 2015
2880,tajinder2509,"Room was very nice, well managed and special wall having design was very amazing. Hotel is on the front of sea when you stay on the window can see the lovely waves in the sea and pen window get the cool air coming from sea.",5,Aug 2015
2881,Barun,It was  a good experience to stay at Hotel Taj Land End. Excellent amenities. Location of Hotel is very strategic and attractive. Restaurant arrangements and food is also of good quality. One can go to top floor of the Hotel and can enjoy at restaurant as well as can view Bandra -worli  sea link .,4,w Aug 2015
2882,Salil,"Opted for a 9-night stay in a Club Room on 25th Floor - Could do definitely better ... Downgrade of service since arrival of cabin crews at the hotel. Masala Bay - Not to be recommended ... Poor Service & below average food quality. Prices on website quite confusing ... Early Birds do not necessarily get the best rates ..... Breakfast at Vista on level 2, better in terms of selection compared to private breakfast on level 21 ....",4,Aug 2015
2883,Haryasees,"great place, surrounded by the sea on all 3 sides.the rooms were really great. i had got the room on the 25th floor. great bath tubs. the rooms were excellent.good large bath tubs. the view was great. the lobbies are huge.express check in and check out.",4,Aug 2015
2884,soorajys,"Situated very close to the sea, this old world property oozes plenty of charm. Rooms are nice especially the sea facing ones. Service is good. Check in took a bit of time but check out was a breeze. Food is good and service was excellent. Nice place to stay",4,Aug 2015
2885,Apurvavohra,Good food....nice hospitality of staff....Function hall slightly small....for a gathering of 800-900 PX...Gym....very nice....Pool side towels slightly smelly / moist.....Bar toooo good..Floor lounge fir coffee / cookies very comfortable for outside guest to entertain...,4,Aug 2015
2886,Shivanshu74,Visited during a seminar and the experience was simply amazing. Hospitality itself speaks for the Tata group. Did try out the restaurant and menu is fairly priced considering the star rating of the hotel. Didn't stay over so would not be able to comment on the rooms. Peculiar feature being you will come across celebrities often. Located beautifully facing the seas. The view it simple amazing.,5,Aug 2015
2887,Siddharth,Everything from the beginning till the end was perfect. Especially the service and staff are very friendly and comforting. Rooms and views from the room are great. Food is also good only I wish there were more options.,5,w Aug 2015
2888,Jenny,"Very nice luxury hotel offering all you would expect from a five stared hotel. 1st class friendly service at all stations. Generous breakfast for all tastes. We were able to book a late checkout/1/2 day rate and had, by our choice, a simple late dinner in one of the in-house restaurants which was excellent.",5, a review Aug 2015
2889,guneet2015,"My reading glasses were broken during the journey. The moment I had reached hotel, I had informed the concierge and it was replaced within half an hour. The staff is Excellent and very courteous. The location is so beautiful and most of the rooms have a sea view. The breakfast was Excellent and staff is ready to go out of the way to look after you. Par Excellence.",5,Aug 2015
2890,Anil,"My wife and i stayed at Taj Lands End on the Independence day weekend. It provided us an 'out-of-Bombay' trip even though it is a Mumbai hotel. Everything is available in the highest quality with the finest, smiling service.",5,w Aug 2015
2891,sabad,"I have to start out by writing that i have been a big fan of the Taj group of hotels for the last twenty years and so to actually have any negative experience at a Taj hotel is a surprise for me.  So to start off the person taking our reservation at the dedicated Taj reservation line goofed up by booking it as a single room even though he asked and was specifically told that it was for two adults and one child. Ok,simple mistake,and thought not much of it. In the room,which had a great view and was very comfortable,the welcome platter consisted of one small sweet which was quite clearly a mistake and either because it was put together in a hurry or a left over from the previous occupants. Again didn't worry about it too much. After taking a swim and a meal at the coffee…",2,Aug 2015
2892,Ravenwo,"This was my fourth stay at this hotel, and I once again I wasn't disappointed. The welcome was warm, the room clean, modern, and well appointed, the breakfast buffet tremendous, room service excellent, and the bar a lot of fun. I'm sure I'll be back again soon.",4,Aug 2015
2893,Manu,I prefer this Hotel over others for multiple reasons. Not just the Hotel has 3 different views to choose from but also the great signature Taj hospitality makes it more remarkable.  I stayed at the Luxury suite this time and the sea link view with a grand suite was just breathtaking. The warm welcome and amicable staff just takes care of all your needs  The occasion was a friends anniversary and it just couldnt be celebrated better anywhere else  Until I visit again!  Cheers M,5,e a review Aug 2015
2894,Milan,"The biggest difference between Taj and any other similar starred hotel, is the service  Service is not only very efficient but is very personalised  and that makes the stay very smooth and hassle free. This hotel is the same, though some facilities , like the shower in the bathroom does need to be changed",4,te a review Aug 2015
2895,stutisinha11,"Stayed here for a week long on a project and found the hotel ideal & peaceful for the business traveller. Loved their discreet, not intrusive and yet personalized service.  Little things and attention to detail, like arranging my belongings neatly on the work station, tying up the wires of my charger/ PC adapter neatly, noticing that my toothpaste was over and supplying me with a new one --- Kudos to housekeeping.  By the end of the stay, the staff at Vista knew exactly how I liked my coffee.  I would definitely stay here again!",5,Aug 2015
2896,ragneuro,"You can enjoy the taj hospitality with sea facing rooms, good ambience,nice food.rooms were clean,good linen,courteous staffs, recommend to stay.good for family vacation,business trips,conference etc.",5,Aug 2015
2897,Gotofly2,"The hotel stands up to the reputation of taj group of hotels. The location is very nice and central roost business destinations. The restaurants are good. The club level is exceptional and the food served there is delicious. The room tariff is high but you get exceptional service, delicious food, pretty nice rooms and to top it off you are close to many Bollywood star residence.",4,Aug 2015
2898,Dina,"We would end up here every now and then - Either to dine or spend the weekend.  My dad booked this hotel for my husband and me after our wedding reception and we couldn't have asked for a better stay. I've experienced Taj hotels and their service standards for years and years, but this one was extra special! We were in the club rooms. It was very luxurious and the view of the Arabian Sea was spectacular. Since we were newly weds, they left us a chocolate cake, a bouquet and a personal note. That was so thoughtful! The food is a bit pricey but totally worth it. We had a butler service which was amazing. All in all, this hotel is my no.1 choice in Mumbai. I love it because I have way too many sweet memories here with my family and friends.  P.S. Don't miss dining at the Chinese…",5,w Aug 2015
2899,RNM2409,As we checked in we got instantly upgraded to a Junior Suite with a bottle of champagne & cake waiting for us.  Our room was decorated with flowers & toweled swans.   Our Club hostess for our entire stay made our stay memorable.  We are going this year again to spend hubby's bday at the Lands End with our friends.  Cant wait!!!,5,Aug 2015
2900,DKSingh52,well its a very good hotel with good location. staff is helpful. You can take a walk to sea shore and enjoy.  Good eating places nearby in bandra and can enjoy night life. Pool side is very nice. must stay place if you are planning to visit Mumbai.,5,Aug 2015
2901,Manwo,"Jus doors away from the home of famous Bollywood star, Shah Rukh Khan, stands the lovely Taj Lands Ends. Facing the beautiful sea and just minutes drive to the city, Taj Lands End lives up to the impeccable service of the Taj hotel chains. Food standards at the hotel cafe and restaurants were also good. Having said that the rooms look a tad jaded and needs freshening up to match the hip and new lobby.",4,Aug 2015
2902,WordTraveller007,"Stayed here in May 2015, was given an upgraded room with a lovely view which was appreciated. Check in was quick and efficient, lovely hotel with great service, breakfast was awesome. Can't complain, money well spent. Will definitely visit again when in Mumbai! ",5,Aug 2015
2903,Don,I stay at Taj Lands End regularly when I travel to Mumbai.  The experience has deteriorated over time as the attention to detail you expect in a Taj property is often missing.  The Club level remains the best option and the Club staff is very attentive.  ,4,w Aug 2015
2904,KMShah,I am a Taj Inner Circle Gold Member and I get a free weekend voucher to be utilised at any Taj Hotels in Mumbai city. Since past 5 years we have been staying at the Taj Lands end and we have found the service to be super and consistent every year. The room service is superb and the rooms are also very spacious and well done up. The location of the Hotel is also very central and at the same time it is away from the hustle-bustle f,5,Aug 2015
2905,Kishor,"With no disrespect to the Grand Old Taj Mahal Hotel in South Mumbai, the Taj Lands End is the new Landmark for Mumbai with its unique location and identity. some 4 years back I had called this as the Home Away from Home. That rating was very well appreciated on Trip Advisor.",5,iew Aug 2015
2906,Kamshab,We had late lunch at Coffee Shop. The staff was very polite & decent. The food as always at TAJ was perfect. Some of the dishes were made specially for one of our member as per her choice without salt . The service was very quick. Would love to go again & again.,4,Aug 2015
2907,VikasSingh72,"I was at the Taj Lands end for the second time. It was definitely better than the first time, as I could see the rooms had undergone renovation. The location is not very ideal as it out of the way, unless you have business/work only in that area. I was attending a conference, so that suited me fine. The rooms are large enough and are now neater. Had a chance to dine at all the restaurants and the food was ok, but nothing great either. The fresh croissants at breakfast, which I have not seen at any other hotel, were great as always.",4,Aug 2015
2908,nomadsk,"Grand n luxurious!!!!! Each n everyone here starting from concierge upon arrival to the GM of d hotel is just too pampering n warm..All d minutest detail is taken care of..Club Floor is the floor to be in, especially Sea link facing rooms/suites..Breakfast at Vista is elaborate n do not miss d Sunday champagne brunches..While you are there must fine in d Chinese n Indian restaurant too..Evenings are well spent at d lounge listening to piano n some Gud music..Great pool n gym ofcourse..Highly recommended!!!",5,Aug 2015
2909,Charlotte,"Great staff from welcome to departure. They ensured I had a great room with the most amazing seaview. The position of this hotel is so unique and it is amazing to look straight out to sea from your bed. I felt like I was in a boat.   The room was really comfortable, clean and spacious. I don't think it's as recently refurbished as some similar brands I've stayed with but everything was catered for and the bathrooms are quite large.   The pool isn't beautiful, but it works and is a relief in the Mumbai heat. It's an awkward shape for swimming and more of a place to sit and chat, as many of the guests were doing.   Breakfast was ample and good - not great, but good. The staff were almost too attentive.   It's a great location and a really comfortable place. I love Bandra and will…",5,w Aug 2015
2910,Jay,We stayed here for one night. My Room was very fine and superior with the sea facing. Management was very co operative. Food was very amazing especially the Chinese restaurant inside the hotel. Everything was perfect !!!,5,w Aug 2015
2911,Abdul,Ambience is great for both business and leisure.  Excellent service.   It was my first stay and I got upgraded to Presidential Suite which offers complete amenities any guest would love and appreciate plus of course - the best view of the sea! I will definitely stay here again on my next trips to Mumbai.,5,review Aug 2015
2912,Abhishekm_India,"This hotel is at juhu one end away from business district though near Bollywood and sea. You will have good view on see and great breeze. Near all Bollywood joints, wonderful food and drinks. Great service. Though it don't have any disc which is surprise. walking distance from sharukh khan bungalow.",4,Aug 2015
2913,Vikas,"Lovely experience .. Great room - excellent view of the sea , great service , great food ..one of the best breakfat buffet specially the parsi fare ..The location is outstanding because of the proximity to the airport . Will highly recommend to any business traveller , if you do not have work in town .",5,w Aug 2015
2914,VMarco,"I have stayed at this hotel several times and find that the Taj Landsend never disappoints. It is a 'strictly for business' hotel. So, dont expect a night club or a love band playing in one of the restaurants. Since it is pricey, even the tourists coming here are more sophisticated (and advanced in age!!).  However, where the hotel excels is its service consistency. I travel to Mumbai often for business and I hate surprises.  So the hotel does a good job of eliminating surprises of any kind.  Recommended; try the spa, the Chinese restaurant!! Excellent!!  The Vista cafe is the usual 24x7 fare, and could possibly do with more excitement in its menu.",4,Aug 2015
